Rank,Release,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor,Estimated
1,Harry Potter and the Deathly Hallows: Part 2,"$381,011,219","4,375","$169,189,427","4,375","Jul 15, 2011",Warner Bros.,false
4,Harry Potter and the Deathly Hallows: Part 1,"$295,983,305","4,125","$125,017,372","4,125","Nov 19, 2010",Warner Bros.,false
6,Harry Potter and the Goblet of Fire,"$290,013,036","3,858","$102,685,961","3,858","Nov 18, 2005",Warner Bros.,false
8,Harry Potter and the Prisoner of Azkaban,"$249,541,069","3,855","$93,687,367","3,855","Jun 4, 2004",Warner Bros.,false
2,Harry Potter and the Sorcerer's Stone,"$317,575,550","3,672","$90,294,621","3,672","Nov 16, 2001",Warner Bros.,false
7,Harry Potter and the Chamber of Secrets,"$261,988,482","3,682","$88,357,488","3,682","Nov 15, 2002",Warner Bros.,false
3,Harry Potter and the Half-Blood Prince,"$301,959,197","4,455","$77,835,727","4,325","Jul 15, 2009",Warner Bros.,false
5,Harry Potter and the Order of the Phoenix,"$292,004,738","4,285","$77,108,414","4,285","Jul 11, 2007",Warner Bros.,false
9,Harry  Potter IMAX Marathon,"$1,729,226",330,"$1,357,376",330,"Oct 14, 2016",IMAX,false
9,Harry  Potter IMAX Marathon,"$1,729,226",330,"$1,357,376",330,"Oct 14, 2016",IMAX,false
9,Harry  Potter IMAX Marathon,"$1,729,226",330,"$1,357,376",330,"Oct 14, 2016",IMAX,false
9,Harry  Potter IMAX Marathon,"$1,729,226",330,"$1,357,376",330,"Oct 14, 2016",IMAX,false
9,Harry  Potter IMAX Marathon,"$1,729,226",330,"$1,357,376",330,"Oct 14, 2016",IMAX,false
9,Harry  Potter IMAX Marathon,"$1,729,226",330,"$1,357,376",330,"Oct 14, 2016",IMAX,false
9,Harry  Potter IMAX Marathon,"$1,729,226",330,"$1,357,376",330,"Oct 14, 2016",IMAX,false
9,Harry  Potter IMAX Marathon,"$1,729,226",330,"$1,357,376",330,"Oct 14, 2016",IMAX,false
32,Harry Potter and the Deathly Hallows: Part 12021 Re-release,"$26,900",-,-,-,-,Warner Bros.,false
-,Harry Potter and the Prisoner of Azkaban2025 Re-release,-,-,-,-,"Feb 15, 2025",Fathom Events,false
-,Harry Potter and the Chamber of Secrets2025 Re-release,-,-,-,-,"Feb 14, 2025",Fathom Events,false
-,Harry Potter and the Sorcerer's Stone2025 Re-release,-,-,-,-,"Feb 13, 2025",Fathom Events,false
-,Harry Potter and the Goblet of Fire20th Anniversary,-,-,-,-,"Feb 16, 2025",Fathom Events,false
17,Harry Potter and the Sorcerer's Stone2021 Re-release,"$799,342",-,-,-,"Aug 27, 2021",Warner Bros.,false
18,Harry Potter and the Sorcerer's Stone2018 Re-release,"$295,917",-,-,-,"Sep 2, 2018",Warner Bros.,false
19,Harry Potter and the Chamber of Secrets2018 Re-release,"$245,501",-,-,-,"Sep 2, 2018",Warner Bros.,false
20,Harry Potter and the Prisoner of Azkaban2018 Re-release,"$218,774",-,-,-,"Sep 2, 2018",Warner Bros.,false
21,Harry Potter and the Chamber of Secrets2021 Re-release,"$191,501",-,-,-,-,Warner Bros.,false
22,Harry Potter and the Goblet of Fire2018 Re-release,"$188,716",-,-,-,"Sep 2, 2018",Warner Bros.,false
23,Harry Potter and the Deathly Hallows: Part 22018 Re-release,"$181,938",-,-,-,"Sep 2, 2018",Warner Bros.,false
24,Harry Potter and the Deathly Hallows: Part 12018 Re-release,"$148,263",-,-,-,"Sep 2, 2018",Warner Bros.,false
25,Harry Potter and the Order of the Phoenix2018 Re-release,"$132,522",-,-,-,"Sep 2, 2018",Warner Bros.,false
26,Harry Potter and the Half-Blood Prince2018 Re-release,"$130,081",-,-,-,"Sep 2, 2018",Warner Bros.,false
27,Harry Potter and the Prisoner of Azkaban2021 Re-release,"$129,655",-,-,-,-,Warner Bros.,false
28,Harry Potter and the Goblet of Fire2021 Re-release,"$52,023",-,-,-,-,Warner Bros.,false
29,Harry Potter and the Deathly Hallows: Part 22021 Re-release,"$38,277",-,-,-,-,Warner Bros.,false
30,Harry Potter and the Order of the Phoenix2021 Re-release,"$29,314",-,-,-,-,Warner Bros.,false
31,Harry Potter and the Half-Blood Prince2021 Re-release,"$28,943",-,-,-,-,Warner Bros.,false
